date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:28	110921/110921	---M-Z	200	added ('OK')	text/html	etag:%225187-63b5204bf1e70%22	https://neighboranimation.com/work/team-m8tes/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/work/team-m8tes/index.html	(from https://neighboranimation.com/)
21:44:28	19378/19378	---M--	200	added ('OK')	image/jpeg	etag:%224bb2-60b65b3a6937a%22	https://neighboranimation.com/wp-content/uploads/2023/11/Futurebuilt_1000x500-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2023/11/Futurebuilt_1000x500-500x500.jpg	(from https://neighboranimation.com/)
21:44:28	53413688/53413688	---M--	200	added ('OK')	video/mp4	etag:%2232f0738-5fbbd097294bb%22	https://neighboranimation.com/wp-content/uploads/2022/04/HEADER_CAROUSEL_1920x320_v12.mp4	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2022/04/HEADER_CAROUSEL_1920x320_v12.mp4	(from https://neighboranimation.com/)
21:44:28	61506/61506	---M--	200	added ('OK')	image/jpeg	etag:%22f042-60b6350c168ab%22	https://neighboranimation.com/wp-content/uploads/2023/11/MrBubble3in1_1000x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2023/11/MrBubble3in1_1000x500.jpg	(from https://neighboranimation.com/)
21:44:28	114412/114412	---M--	200	added ('OK')	image/jpeg	etag:%221beec-5fbbd0975d0de%22	https://neighboranimation.com/wp-content/uploads/2022/05/OHLCHX_1000x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2022/05/OHLCHX_1000x500.jpg	(from https://neighboranimation.com/)
21:44:29	55096/55096	---M--	200	added ('OK')	image/jpeg	etag:%22d738-5fbbd09740bbd%22	https://neighboranimation.com/wp-content/uploads/2022/01/MRBUBBLE_1000x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2022/01/MRBUBBLE_1000x500.jpg	(from https://neighboranimation.com/)
21:44:29	36075/36075	---M--	200	added ('OK')	image/jpeg	etag:%228ceb-5fbbd0986e7ed%22	https://neighboranimation.com/wp-content/uploads/2021/10/OPTICALVR_1000x500-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/OPTICALVR_1000x500-500x500.jpg	(from https://neighboranimation.com/)
21:44:29	39963/39963	---M--	200	added ('OK')	image/jpeg	etag:%229c1b-5fbbd098716cd%22	https://neighboranimation.com/wp-content/uploads/2021/10/PPACVR_1000x500-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/PPACVR_1000x500-500x500.jpg	(from https://neighboranimation.com/)
21:44:29	80802/80802	---M--	200	added ('OK')	image/jpeg	etag:%2213ba2-5fbbd0988012e%22	https://neighboranimation.com/wp-content/uploads/2021/10/HonourCafe_1000x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/HonourCafe_1000x500.jpg	(from https://neighboranimation.com/)
21:44:29	111239/111239	---MCZ	200	added ('OK')	text/html	etag:%220dc89f09d3f8bdbf71aaac30f626c487%22	https://neighboranimation.com/work/clif-kid-launch/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/work/clif-kid-launch/index.html	(from https://neighboranimation.com/)
